,time,open,high,low,close,tick_volume,spread,real_volume
46,2024-11-25 15:30:00,1.05208,1.05303,1.05143,1.05285,2836,0,0
47,2024-11-25 16:00:00,1.05285,1.05303,1.05155,1.05252,3016,0,0
48,2024-11-25 16:30:00,1.05253,1.05282,1.05045,1.0508,2859,0,0
49,2024-11-25 17:00:00,1.05081,1.0515,1.04862,1.05135,2302,0,0
50,2024-11-25 17:30:00,1.05136,1.05192,1.04862,1.04887,2802,0,0
51,2024-11-25 18:00:00,1.04886,1.04947,1.04811,1.04848,2384,0,0
52,2024-11-25 18:30:00,1.04849,1.04884,1.04668,1.04777,1922,0,0
53,2024-11-25 19:00:00,1.04777,1.04793,1.0469,1.04751,1567,0,0
54,2024-11-25 19:30:00,1.04751,1.04873,1.04751,1.04862,1049,0,0
55,2024-11-25 20:00:00,1.04862,1.04982,1.0486,1.04966,1388,0,0
56,2024-11-25 20:30:00,1.04966,1.0508,1.04966,1.05075,1083,0,0
57,2024-11-25 21:00:00,1.05075,1.05107,1.05055,1.05093,892,0,0
58,2024-11-25 21:30:00,1.05093,1.05098,1.05014,1.05056,793,0,0
59,2024-11-25 22:00:00,1.05056,1.05094,1.0501,1.05032,689,0,0
60,2024-11-25 22:30:00,1.05032,1.05038,1.04919,1.04924,939,0,0
61,2024-11-25 23:00:00,1.04924,1.04972,1.04921,1.04938,585,0,0
62,2024-11-25 23:30:00,1.04938,1.04965,1.0492,1.04959,674,0,0
63,2024-11-26 00:00:00,1.04932,1.04962,1.04779,1.04948,280,9,0
64,2024-11-26 00:30:00,1.04945,1.04961,1.04939,1.04951,525,14,0
65,2024-11-26 01:00:00,1.04951,1.05008,1.04944,1.04973,356,0,0
66,2024-11-26 01:30:00,1.04973,1.04976,1.0443,1.04438,2523,0,0
67,2024-11-26 02:00:00,1.04438,1.04566,1.04251,1.04533,3164,0,0
68,2024-11-26 02:30:00,1.04532,1.04574,1.04334,1.0435,2048,0,0
69,2024-11-26 03:00:00,1.0435,1.04572,1.04304,1.04558,2619,0,0
70,2024-11-26 03:30:00,1.04558,1.04647,1.0451,1.04542,1732,0,0
71,2024-11-26 04:00:00,1.04541,1.04626,1.04512,1.04584,1182,0,0
72,2024-11-26 04:30:00,1.04584,1.04649,1.04534,1.04609,1215,0,0
73,2024-11-26 05:00:00,1.04609,1.04693,1.04586,1.0467,1074,0,0
74,2024-11-26 05:30:00,1.0467,1.04802,1.04661,1.0478,846,0,0
75,2024-11-26 06:00:00,1.0478,1.04906,1.04779,1.04841,915,0,0
76,2024-11-26 06:30:00,1.04842,1.04842,1.04768,1.04798,562,0,0
77,2024-11-26 07:00:00,1.04798,1.04815,1.04755,1.0476,631,0,0
78,2024-11-26 07:30:00,1.0476,1.0481,1.04742,1.04754,730,0,0
79,2024-11-26 08:00:00,1.04754,1.04836,1.04752,1.04784,968,0,0
80,2024-11-26 08:30:00,1.04784,1.04824,1.04742,1.0476,1013,0,0
81,2024-11-26 09:00:00,1.0476,1.04817,1.0472,1.04749,1894,0,0
82,2024-11-26 09:30:00,1.04749,1.04856,1.04721,1.04721,1863,0,0
83,2024-11-26 10:00:00,1.04721,1.04889,1.04701,1.04829,2381,0,0
84,2024-11-26 10:30:00,1.04829,1.04965,1.04782,1.04914,2110,0,0
85,2024-11-26 11:00:00,1.04914,1.05191,1.0491,1.04983,2615,0,0
86,2024-11-26 11:30:00,1.04983,1.05094,1.04924,1.05073,1909,0,0
87,2024-11-26 12:00:00,1.05073,1.0516,1.05057,1.05129,1670,0,0
88,2024-11-26 12:30:00,1.05129,1.05208,1.05091,1.05169,1351,0,0
89,2024-11-26 13:00:00,1.05169,1.05189,1.0505,1.05082,1343,0,0
90,2024-11-26 13:30:00,1.0508,1.05208,1.05065,1.05132,1423,0,0
91,2024-11-26 14:00:00,1.05132,1.05448,1.05101,1.05313,2619,0,0
92,2024-11-26 14:30:00,1.05313,1.05448,1.05225,1.0524,2444,0,0
93,2024-11-26 15:00:00,1.05237,1.05267,1.0501,1.05021,3061,0,0
94,2024-11-26 15:30:00,1.05021,1.05161,1.05003,1.05037,2354,0,0
95,2024-11-26 16:00:00,1.05037,1.05061,1.04897,1.04994,2341,0,0
96,2024-11-26 16:30:00,1.04994,1.05053,1.04923,1.05028,2652,0,0
97,2024-11-26 17:00:00,1.05028,1.051,1.04868,1.0487,2884,0,0
98,2024-11-26 17:30:00,1.0487,1.05016,1.04786,1.04796,2867,0,0
99,2024-11-26 18:00:00,1.04797,1.04861,1.04638,1.0464,1855,0,0
